"cons","bmiz","seifa","varIntercept","varSlope","varResid","secons","sebmiz","seseifa","pbmiz","pSeifa","pCons","Method"
0.396394469,-0.179887308,0.188710654,0.316974361,0.179477488,0.847514476,0.05514973,0.048347631,0.051867189,1,1,1,10
0.501651136,-0.210522502,0.293958883,0.452914673,0.175929666,0.920312654,0.067788208,0.054288079,0.062646999,1,1,1,10
0.385578178,-0.193613859,0.234828029,0.341290353,0.275220277,0.903555563,0.056810637,0.057618891,0.054808041,1,1,0,10
0.464834268,-0.200571032,0.250009426,0.356421082,0.203828787,0.904928346,0.056925104,0.04895679,0.055014812,1,1,1,10
0.550839615,-0.23381885,0.244200794,0.407342856,0.302430286,0.902041758,0.066127259,0.066254262,0.061019786,1,1,1,10
0.454169501,-0.146037515,0.206323467,0.442692843,0.20176564,0.876215116,0.062060373,0.050751249,0.057600133,1,1,1,10
0.404646412,-0.030030428,0.257199531,0.368058712,0.254795607,0.914457165,0.064442369,0.064654465,0.056251412,0,1,1,10
0.492999693,-0.113421767,0.291916672,0.44656728,0.270346265,0.853790538,0.064201905,0.056656146,0.057546085,1,1,1,10
0.42530816,-0.141841324,0.270273452,0.419851003,0.3154886,0.911481649,0.066944553,0.068480025,0.067324707,1,1,1,10
0.401702319,-0.289614837,0.251682773,0.418018174,0.204867713,0.913134342,0.062610597,0.053608313,0.054317449,1,1,1,10
0.450596212,-0.21797211,0.174745772,0.313357002,0.257847427,0.911658796,0.057974417,0.060324459,0.052288104,1,1,1,10
0.460651417,-0.171572998,0.163964535,0.364629528,0.24416472,0.910762334,0.060712987,0.056248704,0.056336966,1,1,1,10
0.568130532,-0.122691341,0.323822479,0.306990748,0.304304586,0.923626702,0.058204162,0.063639724,0.056748426,1,1,1,10
0.474919421,-0.180016817,0.221125613,0.380248992,0.28162424,0.848720877,0.060086685,0.057087136,0.051138315,1,1,1,10
0.511137312,-0.214794585,0.295676587,0.42860228,0.267268957,0.86771865,0.064369027,0.058929413,0.05752033,1,1,1,10
0.52776221,-0.227969822,0.275434509,0.37620783,0.230153193,0.908033163,0.059843746,0.058266272,0.056196835,1,1,1,10
0.465376341,-0.213892864,0.265642934,0.29591274,0.278566671,0.872197627,0.057275258,0.058614471,0.050450264,1,1,1,10
0.543019745,-0.225513841,0.251620554,0.438217908,0.281135987,0.907068,0.063897819,0.059841029,0.061939463,1,1,1,10
0.469288955,-0.123593363,0.255775497,0.448808721,0.115027339,0.844854902,0.064420583,0.046985587,0.059625968,1,1,1,10
0.461549536,-0.152206902,0.320960909,0.392421821,0.234639104,0.866526257,0.060479552,0.053729776,0.059800262,1,1,1,10
0.455702335,-0.23850312,0.280084764,0.504232363,0.130127549,0.909956613,0.068299538,0.051607211,0.060898946,1,1,1,10
0.633856406,-0.252337299,0.2347143,0.423029106,0.312449144,0.899666346,0.067931167,0.070639044,0.06100445,1,1,0,10
0.522064016,-0.228213436,0.287514446,0.356147995,0.232920617,0.879107584,0.055482951,0.05551419,0.056861477,1,1,1,10
0.48882331,-0.140796822,0.255760749,0.282506972,0.298250439,0.912817093,0.058235785,0.061999249,0.053466123,1,1,1,10
0.55302437,-0.200376729,0.296966708,0.402072856,0.213306752,0.917709824,0.067435852,0.05920822,0.05214917,1,1,1,10
0.514331332,-0.201501699,0.326925305,0.376649781,0.173149458,0.901431403,0.063418203,0.052241187,0.055488334,1,1,1,10
0.54137201,-0.126494144,0.089702642,0.416937101,0.207527911,0.905864228,0.064979537,0.06434608,0.058005616,1,0,1,10
0.494409093,-0.212122323,0.298329961,0.521064181,0.202369407,0.863217853,0.07100196,0.05599814,0.068536236,1,1,1,10
0.436453832,-0.16037057,0.186126153,0.332340352,0.284020979,0.81569051,0.055390326,0.058298042,0.047942006,1,1,1,10
0.421495318,-0.158344543,0.22699163,0.42776921,0.194847909,0.932874671,0.064500301,0.05501448,0.071842793,1,1,1,10
0.431040851,-0.22717542,0.161399008,0.337228874,0.222530942,0.884504312,0.056527514,0.052610268,0.056936756,1,1,1,10
